Disease name:	Adrenocortical Carcinoma
miRNA_name	PMID	Description	Causality
hsa-mir-195	35205648	We have identified three miRNA combinations (hsa-miR-195 hsa-miR-210 hsa-miR-503; hsa-miR-210 hsa-miR-375 hsa-miR-503 and hsa-miR-210 hsa-miR5p hsa-miR-503) as unexpectedly good predictors to determine adrenocortical malignancy with sensitivity and specificity both of over 90%.	Unknown
hsa-mir-130b	32175564	CONCLUSIONS: The present study inferred that the metastasis-related ceRNAs of H2AFX, hsa-miR-130b-3p and Macrophages M0 might play important roles in ACC metastasis.	Unknown
hsa-mir-375	35205648	We have identified three miRNA combinations (hsa-miR-195 hsa-miR-210 hsa-miR-503; hsa-miR-210 hsa-miR-375 hsa-miR-503 and hsa-miR-210 hsa-miR5p hsa-miR-503) as unexpectedly good predictors to determine adrenocortical malignancy with sensitivity and specificity both of over 90%.	Unknown
hsa-mir-210	35205648	We have identified three miRNA combinations (hsa-miR-195 hsa-miR-210 hsa-miR-503; hsa-miR-210 hsa-miR-375 hsa-miR-503 and hsa-miR-210 hsa-miR5p hsa-miR-503) as unexpectedly good predictors to determine adrenocortical malignancy with sensitivity and specificity both of over 90%.	Unknown
hsa-mir-140	35765893	And up-regulated LINC01234 in ACC cells significantly reversed the degradation of BRD4 by miR3p. Collectively, we deduce that LINC01234 functions as a ceRNA to regulate BRD4 expression by sponging miR3p in ACC progress.	Unknown
hsa-mir-196a	33289788	In addition, the pooled result revealed that elevated miR-196a expression in tumor tissues (HR = 2.54, 95% CI: 1.79-3.61, PHeterogeneity=0.000, I2 = 75.8%) or serum/plasma (HR = 4.06, 95% CI: 2.67-6.18, PHeterogeneity=0.668, I2 = 0%) of patients was an unfavorable survival biomarker, which was consistent with the data from databases (adrenocortical carcinoma: HR = 5.70; esophageal carcinoma: HR = 1.93; brain lower grade glioma: HR = 2.91; GSE40267: HR = 2.47, 95% CI: 1.2-5.07; TCGA: HR = 1.82, 95% CI: 1.21-2.74; GSE19783: HR = 4.24, 95% CI: 1-18.06).	Unknown
hsa-mir-503	35205648	We have identified three miRNA combinations (hsa-miR-195 hsa-miR-210 hsa-miR-503; hsa-miR-210 hsa-miR-375 hsa-miR-503 and hsa-miR-210 hsa-miR5p hsa-miR-503) as unexpectedly good predictors to determine adrenocortical malignancy with sensitivity and specificity both of over 90%.	Unknown
hsa-mir-675	36169175	The downregulated expression of H19 in ACC compared to ACA correlated with miR675 expression hosted by H19.	Unknown
hsa-mir-483	35205648	We have identified three miRNA combinations (hsa-miR-195 hsa-miR-210 hsa-miR-503; hsa-miR-210 hsa-miR-375 hsa-miR-503 and hsa-miR-210 hsa-miR5p hsa-miR-503) as unexpectedly good predictors to determine adrenocortical malignancy with sensitivity and specificity both of over 90%.	Unknown
hsa-mir-483	31149197	In this field of research, epigenetic studies identified a common signature in ACC, where the most altered miRNA found in ACC (miR5p) seems now to represent a concrete biomarker to be used in the pre-operative diagnosis of ACC.	Unknown
