Disease name:	Cholangiocarcinoma
miRNA_name	PMID	Description	Causality
hsa-mir-21	32626749	To support, overexpression of miR-21 blocks galangin-mediated antisurvival and metastasis effects on CCA cells. Taken together, these findings indicate that galangin inhibits CCA cell proliferation and metastasis and induces cell apoptosis through a miRdependent manner, and galangin may provide a novel potential therapeutic adjuvant to treat CCA.	Unknown
hsa-mir-21	33805513	A three-marker model was constructed by using miR-21, miR-122 and CA19-9, which showed an AUC of 0.853 (95% CI: 0.824-0.879; sensitivity: 73.0%, specificity: 87.4%) to differentiate iCCA from controls.	Unknown
hsa-mir-21	32210627	CONCLUSION: Patients with HL-CCA show high incidence of hepatic abscess and elevated miRNA-21 and miRNA-221 expression level.	Unknown
hsa-mir-155	30653586	RESULTS Serum concentrations of miR-122, miR-192, miR-29b and miR-155 were significantly elevated in patients with CCA compared to healthy controls or patients with primary sclerosing cholangitis without malignant transformation.	Unknown
hsa-mir-155	34876142	CONCLUSION: MiR-155-5p decreased the expression of SOX1 by binding to its 3'UTR, which activated the RAF/MEK/ERK signaling pathway and promoted CCA progression.	Unknown
hsa-mir-212	31837357	CONCLUSIONS: These findings suggest that aberrant hypermethylation-induced downregulation of miR3p results in overexpression of MUC13 in iCCA, leading to metastasis via activation of the EGFR/PI3K/AKT signaling pathway.	Unknown
hsa-mir-150	33161598	Thus, miRNA-150 can be considered as a non-invasive, sensitive serum biomarker for the diagnosis of CCA especially when combined with CA 19-9.	Unknown
hsa-mir-146a	33797690	These data demonstrated that SNHG16 promoted cell proliferation and repressed apoptosis by regulating the miR-146a-5p/GATA6 axis, which provides some helpful insights for the diagnosis and treatment of CCA.	Unknown
hsa-mir-92a	35157005	The expression of miR5p, miR-378d, miR5p, and miR-92a-3p was significantly higher in detached cell samples from smears of cholangiocarcinoma cases than in those from noncancer cases.	Unknown
hsa-mir-92a	31784323	Bile-derived circulating extracellular miR-30d-5p and miR-92a-3p are potential biomarkers for discriminating CCA from BBD.	Unknown
hsa-mir-126	33639676	No association was found between miR3p expression and tumor subtypes (iCCA=0.42; pCCA=0.45; dCCA=0.72; P=0.9155).	Unknown
hsa-mir-19b	32315652	CONCLUSION: These results indicate that serum miR-19b-3p level is a crucial biomarker for ICC diagnosis and targeting miR-19b-3p-CCDC6 axis might be a promising strategy in ICC therapy.	Unknown
hsa-mir-182	35157005	The expression of miR5p, miR-378d, miR5p, and miR-92a-3p was significantly higher in detached cell samples from smears of cholangiocarcinoma cases than in those from noncancer cases.	Unknown
hsa-mir-182	32694937	MME-AS1 and hsa-miR-182 were associated with overall survival in ICC patients.	Unknown
hsa-mir-29b	30653586	RESULTS Serum concentrations of miR-122, miR-192, miR-29b and miR-155 were significantly elevated in patients with CCA compared to healthy controls or patients with primary sclerosing cholangitis without malignant transformation.	Unknown
hsa-mir-122	30881509	It was also demonstrated that miRNA-122 exhibited significantly differential expression and the overall survival rate was predicted for various other types of cancer, including colorectal cancer, renal carcinoma, cholangiocarcinoma, prostate cancer and thyroid carcinoma.	Unknown
hsa-mir-122	31115511	Therefore, increasing miR122 expression and inhibiting PKM2 may be future approaches for cholangiocarcinoma treatment.	Unknown
hsa-mir-122	30653586	RESULTS Serum concentrations of miR-122, miR-192, miR-29b and miR-155 were significantly elevated in patients with CCA compared to healthy controls or patients with primary sclerosing cholangitis without malignant transformation.	Unknown
hsa-mir-122	33805513	A three-marker model was constructed by using miR-21, miR-122 and CA19-9, which showed an AUC of 0.853 (95% CI: 0.824-0.879; sensitivity: 73.0%, specificity: 87.4%) to differentiate iCCA from controls.	Unknown
hsa-mir-200c	31933776	In conclusion, serum exosomal miR-200 family, particularly miR-200c-3p, could be efficient biomarkers for CCA. The serum levels of exosomal miR-200a/c-3p also represented the rate of CCA progression.	Unknown
hsa-mir-200c	31571907	The ability of migration of CCA cells was also up-regulated by Lnc-ATB but was suppressed by miR-200c.	Unknown
hsa-mir-200c	36091129	CONCLUSION: The bile exosomal miR-200 family, particularly miR-200c-3p, was verified to be a potential biomarker for the early detection of CCA.	Unknown
