Disease name:	clear cell renal cell carcinoma
miRNA_name	PMID	Description	Causality
hsa-let-7a	28694731	Detection of let-7 miRNAs in urine supernatant as potential diagnostic approach in non-metastatic clear-cell renal cell carcinoma.	NO
hsa-let-7b	28694731	Detection of let-7 miRNAs in urine supernatant as potential diagnostic approach in non-metastatic clear-cell renal cell carcinoma.	NO
hsa-let-7d	28694731	Detection of let-7 miRNAs in urine supernatant as potential diagnostic approach in non-metastatic clear-cell renal cell carcinoma.	NO
hsa-let-7e	28694731	Detection of let-7 miRNAs in urine supernatant as potential diagnostic approach in non-metastatic clear-cell renal cell carcinoma.	NO
hsa-let-7g	24351440	MicroRNA expression signatures of stage, grade, and progression in clear cell RCC.	NO
hsa-let-7g	28694731	Detection of let-7 miRNAs in urine supernatant as potential diagnostic approach in non-metastatic clear-cell renal cell carcinoma.	NO
hsa-mir-1	26036633	MiR-1 downregulation correlates with poor survival in clear cell renal cell carcinoma where it interferes with cell cycle regulation and metastasis.	NO
hsa-mir-101	28138701	Hypoxia-induced hsa-miR-101 promotes glycolysis by targeting TIGAR mRNA in clear cell renal cell carcinoma.	NO
hsa-mir-106b	25714014	miR-106b-5p targets tumor suppressor gene SETD2 to inactive its function in clear cell renal cell carcinoma.	YES
hsa-mir-107	25758424	In summary, our results showed that miR-107 can inhibit cell proliferation and invasiveness of renal cell carcinoma. Furthermore, this study may provide a potential therapeutic regimen for clear cell renal cell carcinoma treatment.	YES
hsa-mir-10b	24793999	The miR(21/10b) ratio as a prognostic marker in clear cell renal cell carcinoma.	NO
hsa-mir-10b	28360191	miR-10b is a prognostic marker in clear cell renal cell carcinoma.	NO
hsa-mir-10b	29672315	MicroRNA-10b Promotes Apoptosis via JNK Pathway in Clear Cell Renal Cell Carcinoma	NO
hsa-mir-10b	26617769	Our results suggest that miR-10b plays a tumor-suppressive role in ccRCC. Demethylation of miR-10b may be therapeutically beneficial for ccRCC treatment.	YES
hsa-mir-122	28184927	miR-122 and miR-34a, respectively, may regulate their expression in this cancer	NO
hsa-mir-124	26002553	We hypothesize that these three miRNAs are fundamentalcontributing to ccRCC aggressive/metastatic behavior; and miR-124-3p especially has a key role through regulating CAV1 and FLOT1 expression. Restoration of the levels of these miRNAs could be considered as a potential therapeutic strategy for ccRCC.	YES
hsa-mir-125b	25155155	Tumor miR-125b predicts recurrence and survival of patients with clear-cell renal cell carcinoma after surgical resection.	NO
hsa-mir-126	29202733	Expression of micro-RNAs and genes related to angiogenesis in ccRCC and associations with tumor characteristics	NO
hsa-mir-136	25450277	This integrative network approach revealed important miRNAs in the ccRCC that can identify specific disease biomarkers, which can be used as targets for cancer treatment.	NO
hsa-mir-138	28861152	MicroRNA-138 attenuates epithelial-to-mesenchymal transition by targeting SOX4 in clear cell renal cell carcinoma.	YES
hsa-mir-140	29253611	miRNA-429, miRNA-206, and miRNA-184 and their target gene CCND1, as well as miRNA-140-3p and miRNA-142-5p and their target gene ATP1B1, might play key roles in ccRCC progression and could be useful biomarkers during ccRCC development	NO
hsa-mir-141	27336447	a tumor suppressive effect of miR-141-3p and miR-145-5p by decreasing migration and invasion of RCC cells could be shown.	YES
hsa-mir-141	26461224	LncRNA MALAT1 functions as a competing endogenous RNA to regulate ZEB2 expression by sponging miR-200s in clear cell kidney carcinoma.	YES
hsa-mir-142	29253611	miRNA-429, miRNA-206, and miRNA-184 and their target gene CCND1, as well as miRNA-140-3p and miRNA-142-5p and their target gene ATP1B1, might play key roles in ccRCC progression and could be useful biomarkers during ccRCC development	NO
hsa-mir-142	24351440	MicroRNA expression signatures of stage, grade, and progression in clear cell RCC.	NO
