Disease name:	pancreatic adenocarcinoma
miRNA_name	PMID	Description	Causality
hsa-mir-21	31652721	Evidence on equilibrative nucleoside transporter 1 (ENT1) and microRNA-21 (miR21) is not yet sufficiently convincing to consider them as prognostic biomarkers for patients with pancreatic ductal adenocarcinoma (PDAC).	Unknown
hsa-mir-126	31297864	Four (hsa-mir-126, hsa-mir-3613, hsa-mir-424, and hsa-mir-4772) out of 17 differentially expressed miRNAs were associated to the OS of patients with PAAD.	Unknown
hsa-mir-19a	35387554	In conclusion, circ-MYBL2 was downregulated in PA and it downregulated miR-19a through methylation to suppress PA cell proliferation.	Unknown
hsa-mir-93	30537722	METHODS: We assessed mRNA levels of Nrf2 and Keap1 and tissue expression of miR-93 and miR-200a in 51 patients with surgically treated PDAC. CONCLUSIONS: High miR-93 and miR-200a levels in cancer cells of PDAC were associated with better differentiation, and miR-200a expression in benign tissue with excellent RFS.	Unknown
hsa-mir-34a	34113395	In conclusion, the results from this study demonstrated that IUR may upregulate miR-34a expression in order to inhibit PAAD cell migration and invasion by downregulating CD44.	Unknown
hsa-mir-181a	34069007	In situ hybridization of miR-181a and immunohistochemistry of EPB41L4B and SEL1L in pancreatic tissues (n = 4 Healthy; n = 3 IPMN; n = 4 PDAC) were also carried out.	Unknown
hsa-mir-16	36882663	The lncRNA PVT1/hsa-miR-16-5p/CASP6/CASP8 regulatory axis plays an vital role in regulating the anti-tumor immune responses for PAAD.	Unknown
hsa-mir-106b	35077391	Moreover, CASKIN2, TLE2, USP20, SPRN, ARSG, MIR106B, and MIR98 might be associated with low-risk patients with PAAD.	Unknown
hsa-mir-200a	30537722	METHODS: We assessed mRNA levels of Nrf2 and Keap1 and tissue expression of miR-93 and miR-200a in 51 patients with surgically treated PDAC. CONCLUSIONS: High miR-93 and miR-200a levels in cancer cells of PDAC were associated with better differentiation, and miR-200a expression in benign tissue with excellent RFS.	Unknown
hsa-mir-196a	34784377	qRT-PCR analysis of miRNA expression in EVs from PDAC cells revealed that expression of miR-196a and miR-1246, two previously identified miRNAs highly enriched in PDAC cell-derived exosomes, is significantly elevated in the OP1 group relative to the other EV groups.	Unknown
