Disease name:	gastric adenocarcinoma
miRNA_name	PMID	Description	Causality
hsa-mir-21	34880629	We also identified lncRNA SNHG1/miR5p/TLR4 regulatory axis in the progression in STAD. CONCLUSION: We performed a comprehensive bioinformatics analysis and identified a necroptosisrelated prognostic signature and a lncRNA SNHG1/miR5p/TLR4 regulatory axis in STAD.	Unknown
hsa-mir-125b	33224315	RESULTS: The expression levels of miR-125b-5p and miR-196a-5p were upregulated in STAD serum, compared with the HCs, while miR3p and miR5p showed the opposite result. Only miR-125b-5p expression showed a significant difference between STAD patients and NCs in the survival analysis.	Unknown
hsa-mir-27b	32218690	In our previous study, we identified three miRNAs (hsa-miR-421, hsa-miR-29b5p, and hsa-miR-27b-5p) with two mRNAs (FBXO11 and CREBZF) that might play an important role in the development of gastric adenocarcinoma (GAC) from premalignant adenomas.	Unknown
hsa-mir-132	33209873	MIR-331 and MIR-132 have important role in STAD.	Unknown
hsa-mir-28	35669102	Collectively, our findings illustrated that MZF1-mediated miR-328-3p acted as a cancer suppressor in STAD progression via regulation of CD44, which suggested the possibility of the MZF1/miR-328-3p/CD44 axis as a novel promising therapeutic candidate for STAD.	Unknown
hsa-mir-137	31772663	Results: Eleven miRNAs (hsa-mir2, hsa-mir-3917, hsa-mir-495, hsa-mir-653, hsa-mir-3605, hsa-mir-2115, hsa-mir-1292, hsa-mir-137, hsa-mir-6511b-1, hsa-mir-145, and hsa-mir2) were recognized as prognostic and used for the construction of a STAD prognostic signature.	Unknown
hsa-mir-379	35578189	RESULTS: Using the data from the Cancer Genome Atlas (TCGA), a prognostic model of stomach adenocarcinoma was established including tumor stage and expression levels of 4 miRNAs (hsa-miR3p, hsa-miR3p, hsa-miR5p and hsa-miR3p).	Unknown
hsa-mir-145	31772663	Results: Eleven miRNAs (hsa-mir2, hsa-mir-3917, hsa-mir-495, hsa-mir-653, hsa-mir-3605, hsa-mir-2115, hsa-mir-1292, hsa-mir-137, hsa-mir-6511b-1, hsa-mir-145, and hsa-mir2) were recognized as prognostic and used for the construction of a STAD prognostic signature.	Unknown
hsa-mir-145	35155200	After performing bioinformatics analysis, the CCDC144NL-AS1/hsa-miR5p/SERPINE1 ceRNA network associated to STAD prognosis of STAD was obtained.	Unknown
hsa-mir-133a	31737678	3 DEMIs (miR-490-3p, miR-133a-3p, and miR-552-3p) and 281 target genes were identified, and the 3 DEMIs showed high diagnostic value in READ and moderate diagnostic value in ESCA, GAC, and COAD.	Unknown
