Disease name:	Thyroid Carcinoma, Anaplastic
miRNA_name	PMID	Description	Causality
hsa-mir-200b	32774477	The current study suggested that miR-200b may regulate the expression levels of mesenchymal markers such as vimentin and ZEB1 in ATC and may promote mesenchymal-to-epithelial transition.	Unknown
hsa-mir-155	31718618	Thus, miR-155 has been considered to be an underlying therapeutic target for ATC.	Unknown
hsa-mir-17	32009794	miR-19a, a member of miR92 cluster, has been demonstrated to promote cell growth in anaplastic thyroid cancer (ATC), the most advanced and aggressive thyroid cancer.	Unknown
hsa-mir-206	32336952	Moreover, the repressive effects of NEAT1 knockdown on ATC cell migration, invasion and glycolysis under hypoxia were mediated by miR-206 or miR-599. CONCLUSION: In conclusion, our study suggested that a low NEAT1 expression suppressed the migration, invasion, and glycolysis in ATC cells under hypoxia at least partially through modulating miR-206 and miR-599, providing new therapeutic strategies for ATC treatment.	Unknown
hsa-mir-200c	36067091	miR-200c repressed the proliferation, invasion, and EMT process of cells in ATC cell lines by targeting PTHLH post-transcriptionally, which indicates that miR-200c may be a potential target for the treatment of ATC.	Unknown
hsa-mir-144	32951513	Altogether, these findings identified a genomic copy number amplified and highly expressed lncRNA HOTAIRM1, which exerted oncogenic roles via repressing miR-144 biogenesis in ATC.	Unknown
hsa-mir-9	31485599	In conclusion, the present study demonstrated that NEAT1 silencing ameliorated DDPresistance of ATC, at least in part by reducing miR95p sponging and regulating SPAG5 expression; therefore, NEAT1 may be considered a potential therapeutic target of ATC.	Unknown
hsa-mir-200a	31500506	Collectively, MALAT1 knockdown suppressed ATC progression by regulating miR-200a-3p/FOXA1, providing a novel avenue for treatment of ATC.	Unknown
hsa-mir-128	31102936	These findings suggested that knockdown of HCP5 exerted anti-tumor effect via sponging miR-128-3p in ATC, which might provide a potential approach for the treatment of ATC.	Unknown
hsa-mir-363	31077090	Reversely, miR3p expression was significantly upregulated by BI-847325 in both ATC cell lines.	Unknown
hsa-mir-544	30854076	In conclusion, the   present study demonstrated that miR-544 may function as a tumor suppressor in ATC   and serve as a future therapeutic target for patients with ATC.	Unknown
hsa-mir-634	34027135	Thus, we propose topical treatment of a miR-634 ointment as a rational strategy for improving lenvatinib-based therapy for ATC.	Unknown
hsa-mir-599	32336952	Moreover, the repressive effects of NEAT1 knockdown on ATC cell migration, invasion and glycolysis under hypoxia were mediated by miR-206 or miR-599. CONCLUSION: In conclusion, our study suggested that a low NEAT1 expression suppressed the migration, invasion, and glycolysis in ATC cells under hypoxia at least partially through modulating miR-206 and miR-599, providing new therapeutic strategies for ATC treatment.	Unknown
hsa-mir-200b	32398261	This increased expression was due at least in part to reduced levels of microRNA-200b-3p (miR-200b-3p), which represses ASH1L expression, in ATC. These results indicate that ASH1L contributes to the aggressiveness of ATC and suggest that ASH1L, along with its upstream regulator miR-200b-3p and its downstream mediator CCAT1, represents a potential therapeutic target in ATC.	Unknown
hsa-mir-155	33999777	Our research proved that AFAP-AS1 could facilitate progression of thyroid cancer sponging miR5p through ETS1/ERK pathway.	Unknown
