Disease name:	Carcinoma, squamous cell of head and neck
miRNA_name	PMID	Description	Causality
hsa-let-7a	26323893	In conclusion, we identified a subset of microRNAs that were differentially expressed in ALDH1-high subpopulation, providing new microRNA targets to study dysregulation of HNSCC-initiating cells and develop therapeutic strategies aimed at eradicating the tumorigenic stem cells in HNSCC.	NO
hsa-let-7a	25862914	The microRNA profile seems to play a potential role in the pathobiology of oropharyngeal and laryngeal HNSCC. Up-regulation of miR34a in p16-positive oropharyngeal cancer has not been so far described and additional studies are warranted.	NO
hsa-let-7d	28941018	The available literature supports differential expression of both microRNAs and long non-coding RNAs, which include oncogenic ncRNAs (miR-21, miR-31, miR-155, miR-211, HOTAIR, and MALAT1) and tumor suppressor ncRNAs (let7d, miR-17, miR-375, miR-139, and MEG3) in HPV+ve HNSCC tumors as compared to HPV-ve tumors and they have distinct role in the pathophysiology of these two types of HNSCCs	NO
hsa-let-7g	25677760	decreased expressions of miR-153, miR-200c, miR-363, miR-203, miR-17, miR-205, miR-Let-7d, Let-7g, miR-34a, miR-126a, miR-375, miR-491-p5, miR 218, miR-451 and miR-125b were associated with poor prognosis.	NO
hsa-let-7i	26257063	IB suppresses EMT and stemness of HNSCC cells through inhibition of Twist1-mediated let-7i downregulation and Rac1 activation and the EMT signalling.	NO
hsa-let-7i	23454123	In clinical HNSCC samples, let-7i expression was inversely correlated with BMP4 expression. Our results revealed that let-7i attenuates mesenchymal-mode migration of HNSCC cells through repression of a novel target, BMP4.	NO
hsa-let-7i	20145181	overexpression	NO
hsa-mir-1	27169691	miR-1 and miR-206 significantly inhibited HNSCC cells' aggressiveness.	YES
hsa-mir-100	29880533	the expression of MIR100HG-embedded microRNA, miR-100, was significantly associated with overall survival in an independent cohort of HNSCC cases 	NO
hsa-mir-100	21560177	Docetaxel resistant cells showed significant downregulation of miR-100, miR-130a, and miR-197 and upregulation in miR-101, miR-181b, miR-181d, and miR-195 expression when compared with their parent cells (p < .01).	NO
hsa-mir-101-1	21532618	The tumor suppressor gene rap1GAP is silenced by miR-101-mediated EZH2 overexpression in invasive squamous cell carcinoma.	NO
hsa-mir-101-1	21560177	Docetaxel resistant cells showed significant downregulation of miR-100, miR-130a, and miR-197 and upregulation in miR-101, miR-181b, miR-181d, and miR-195 expression when compared with their parent cells (p < .01).	NO
hsa-mir-101-2	21532618	The tumor suppressor gene rap1GAP is silenced by miR-101-mediated EZH2 overexpression in invasive squamous cell carcinoma.	NO
hsa-mir-101-2	21560177	Docetaxel resistant cells showed significant downregulation of miR-100, miR-130a, and miR-197 and upregulation in miR-101, miR-181b, miR-181d, and miR-195 expression when compared with their parent cells (p < .01).	NO
hsa-mir-106a	26694379	MicroRNA-Target Network Inference and Local Network Enrichment Analysis Identify Two microRNA Clusters with Distinct Functions in Head and Neck Squamous Cell Carcinoma.	NO
hsa-mir-106b	20145181	Upregulation	NO
hsa-mir-10a	20145181	downregulation	NO
