Disease name:	Carcinoma, Hepatocellular
miRNA_name	PMID	Description	Causality
hsa-mir-200b	34110104	RESULTS: YB1 promoted HCC cell migration and tumor metastasis by regulating miR-205/200b-ZEB1 axis partially in a Snail-independent manner. CONCLUSION: This study reveals a previously undescribed mechanism by which YB1 promotes cancer progression by regulating the miR-205/200b-ZEB1 axis in HCC cells.	Unknown
hsa-mir-200b	32591615	These results suggest that exosomal miR-200b-3p from hepatocytes suppresses endothelial ERG expression, and decreased miR-200b-3p in cancer cells promotes angiogenesis in HCC tissues by enhancing endothelial ERG expression.	Unknown
hsa-mir-200b	36286037	miR-200b, APOA2 and APOC3 proteins are sensitive markers and can be potentially useful in combination for the early diagnosis of HCC.	Unknown
hsa-mir-200b	32714042	We observed that the levels of miR-424, let-7c, miR-222, miR-200b were upregulated when hepatoma cells were treated with MG132, and this increase was negatively correlated with the levels of PBX3.	Unknown
hsa-mir-200b	33615520	CONCLUSIONS: H19 plays a critical role in HCC bone metastasis by reducing OPG expression, which is mediated by the PPP1CA-induced inactivation of the p38MAPK pathway; and H19 also functions as a sponge for miR-200b-3p.	Unknown
hsa-mir-200b	36930410	Exosomal miR-200b-3p induce macrophage polarization by regulating transcriptional repressor ZEB1 in hepatocellular carcinoma.	Unknown
hsa-mir-21	32669295	We identify 24 primary microRNAs with significant changes in processing efficiency from normal liver to hepatocellular carcinoma, among those the highly expressed miRNA-122 and miRNA-21, demonstrating that differential processing of primary microRNAs is occurring and could be involved in disease.	Unknown
hsa-mir-21	32380039	In addition, qPCR results showed that miR-21 and miR-181a expression were upregulated in HepG2 cells treated with cancer cell -derived MVs that might support the cancer progression.	Unknown
hsa-mir-21	34638467	These results question the current dogma of miR-21 being a potent oncomiR in the liver and call for cautiousness when considering miR-21 inhibition for therapeutic purposes in HCC.	Unknown
hsa-mir-21	36348568	CONCLUSION: miR-21 has a moderate overall performance in diagnosing HCC and may serve as a potential non-invasive marker for this early-stage disease.	Unknown
hsa-mir-21	36157551	In the training cohort, only miR-21, miR-320d and miR-423 could significantly distinguish (Q < 0.05) between the HCC and chronic liver disease control groups.	Unknown
hsa-mir-21	35904534	Exosome-transferred miR-21 might serve as a potential prognostic biomarker in HCC.	Unknown
hsa-mir-21	35157721	Conclusion: Plasma biomarkers: miRNA-21 and miRNA-155 might be potential biomarkers as onco-miR in HCC subjects, while miRNA-29c might act as a tumor suppressor.	Unknown
hsa-mir-21	34343125	Non-cirrhotic HCV patients have five times the risk of developing HCC when the miRNA -21 level  1.4468.	Unknown
hsa-mir-21	34266326	CONCLUSIONS: miR-21 is a valuable biomarker for the early diagnosis of HCC.	Unknown
hsa-mir-21	33741523	Combined with patient survival data, several mRNAs and miRNAs, including CHST4, SLC22A8, STC2, hsa-miR-326, and hsa-miR-21 were identified from the network to predict HCC patient prognosis.	Unknown
hsa-mir-21	33415165	CONCLUSIONS: Our study demonstrated that miR-21 high expression among surgically resected HCC patients is a prognostic factor that indicated adverse survival.	Unknown
hsa-mir-21	33268243	PATIENTS AND METHODS Serum microRNA expression profiles (miRNA-29a, miRNA-200, miRNA-335 and miRNA-21) were analysed in 137 patients with HCC and liver cirrhosis and 49 healthy subjects (used as negative controls) using real-time quantitative reverse transcription polymerase chain reaction. RESULTS The expression levels of miRNA-21, miRNA-335 and miRNA-200 were significantly up-regulated, whereas those of miRNA-29a were remarkably down-regulated in patients with HCC compared with those in healthy subjects.	Unknown
hsa-mir-21	32441313	Along with miR5p, miR-10b-5p/miR3p/miR3p was found significantly upregulated in the exosome of HCC patients than CH/non-HCC. ROC analysis showed that miR-10b-5p miR3p miR3p miR5p could differentiate CH/non-HCC(CH LC) from HCC with AUROC: 0.86 (97.5% CI: 0.77-0.94)/0.80 (97.5% CI: 0.70-0.89), sensitivity: 74%/58% and specificity: 86%/95% while miR-10b-5p miR3p miR3p showed AUROC: 0.84 (97.5% CI: 0.74-0.94)/0.74 (97.5% CI: 0.63-0.84), sensitivity: 86%/86% and specificity:66%/53% for low AFP-HCC vs CH/non-HCC, respectively, having better sensitivity than the combination of four miRNAs.	Unknown
hsa-mir-21	32291425	CONCLUSION: Micro-RNA-21 rs1292037 A greater than G polymorphism can predict IRI and tumor progression by regulating the miR-21/IL-12A.axis.	Unknown
hsa-mir-21	31660696	CONCLUSION: The circulating miR-130b and miR-21 can be used as potential tumor biomarkers to diagnose liver cancer, and the combined detection of serum miR-130b and miR-21 is superior to the diagnosis of HCC.	Unknown
hsa-mir-21	31492371	miR-21 and alpha-fetoprotein (AFP) together could be potentially used as HCC diagnostic marker in Guangdong province population in China.	Unknown
hsa-mir-21	35116873	BACKGROUND: This study was conducted to investigate the effects of c[RGDyk]-coated liposomes loaded with Adriamycin (nanodrug) and miR-21 mimics on hepatoma cell line SMCC-7721.	Unknown
hsa-mir-21	34729120	Background: This study aimed to evaluate the role of plasma microRNA panel (miR-122, miR-192, miR-21, miR-223, miR-26a, miR-27a and miR-801) for prediction and surveillance of early tumor recurrence in hepatocellular carcinoma (HCC) patients who had undergone liver transplantation (LT).	Unknown
hsa-mir-21	34440094	miR-21 correlates with HIF-1alpha and probably has a role in modulating angiogenesis in HCC.	Unknown
hsa-mir-21	33614488	Overexpression of miR-21 in hepatoma cell line had shown increased phosphorylation p70S6K, the downstream regulator of cell proliferation in mTOR pathway. Overexpression of miR-21 has a role in HCC through mTOR pathway activation and can be targeted.	Unknown
hsa-mir-21	33312427	CONCLUSION: The results from this work do not support clinically relevant prognostic value of circulating miR-21 in HCC patients in real-life settings.	Unknown
hsa-mir-21	32210570	CONCLUSION: This study showed that the expression levels of miRNA-122, miRNA-21 and miRNA-96 in exosomes were more significantly changed than those miRNAs in plasma in patients with HCC compared with cirrhotic patients, and the exosomal miRNA panel containing miRNA-122, miRNA-21 and miRNA-96 could be defined as a diagnostic biomarker for patients with HCC.	Unknown
hsa-mir-21	32194694	Thus, these findings suggest that upregulation of lncRNA CASC11 is involved in the development of chemoresistance to carboplatin in patients with HCC, via the upregulation of miR-21.	Unknown
